type,trial,word,value_col,key,gendered,rightornot,duration,participant
sound,9,lerares,2,n,1,1,1.0244407653808594,jaap
sound,10,verpleegkundige,1,y,0,1,1.7160587310791016,jaap
sound,11,rechter,3,y,0,0,0.9379160404205322,jaap
sound,12,kok,1,y,0,1,0.9964075088500975,jaap
sound,13,leraar,3,n,1,1,1.0962224006652832,jaap
sound,14,burgermeester,3,n,0,1,0.9993035793304444,jaap
sound,15,chirug,2,y,0,1,1.2769203186035156,jaap
sound,16,chirug,3,n,0,1,0.68514084815979,jaap
sound,17,rechter,2,y,0,1,0.9889922142028807,jaap
sound,18,burgermeester,1,y,0,1,0.7015407085418701,jaap
sound,19,lerares,1,y,1,1,1.3321495056152344,jaap
sound,20,boerin,2,n,1,1,1.3461544513702393,jaap
image,1,chirug,1,n,0,0,0.00099778175354,ieke
image,2,kok,1,y,0,1,0.4348382949829101,ieke
image,3,chirug,3,n,0,1,6.567436218261719,ieke
image,4,verpleegkundige,1,y,0,1,1.6695358753204346,ieke
image,5,verpleegkundige,3,n,0,1,1.811156988143921,ieke
image,6,rechter,2,y,0,1,1.1409471035003662,ieke
image,7,chirug,2,y,0,1,1.1519193649291992,ieke
image,8,kunstenares,2,n,1,1,2.567133903503418,ieke
image,9,hoogleraar,3,n,0,1,1.3055088520050049,ieke
image,10,kapper,3,n,1,1,1.2097654342651367,ieke
image,11,kok,2,y,0,1,2.264943599700928,ieke
image,12,kunstenares,1,y,1,1,1.5659334659576416,ieke
image,13,kunstenares,2,n,1,1,1.4565887451171875,ieke
image,14,kapster,3,n,1,1,1.0599067211151123,ieke
image,15,kunstenares,1,y,1,1,1.0452823638916016,ieke
image,16,rechter,2,y,0,1,1.0056641101837158,ieke
image,17,kapster,2,n,1,1,1.1047894954681396,ieke
image,18,kunstenares,1,y,1,1,1.0364713668823242,ieke
image,19,verpleegkundige,1,n,0,0,0.741755485534668,ieke
image,20,schrijfster,3,n,1,1,0.9952454566955566,ieke
sound,1,verpleegkundige,3,n,0,1,1.17808198928833,ieke
sound,2,burgermeester,2,y,0,1,1.4466187953948977,ieke
sound,3,boerin,3,n,1,1,0.981548547744751,ieke
sound,4,kunstenaar,3,n,1,1,1.035431146621704,ieke
sound,5,kapper,1,y,1,1,2.4045989513397217,ieke
sound,6,hoogleraar,1,y,0,1,1.720020771026611,ieke
sound,7,kok,1,y,0,1,1.0462870597839355,ieke
sound,8,schrijver,1,y,1,1,0.7046120166778564,ieke
sound,9,verpleegkundige,1,y,0,1,0.796745777130127,ieke
sound,10,boer,1,y,1,1,0.7606451511383057,ieke
sound,11,hoogleraar,1,y,0,1,1.2581260204315186,ieke
sound,12,kapper,2,y,1,0,3.565908670425415,ieke
sound,13,kunstenares,1,y,1,1,0.9540820121765136,ieke
sound,14,leraar,3,n,1,1,0.987419843673706,ieke
sound,15,hoogleraar,2,y,0,1,0.7953879833221436,ieke
sound,16,boer,2,n,1,1,0.7999274730682373,ieke
sound,17,schrijver,1,y,1,1,0.9553108215332032,ieke
sound,18,kunstenaar,2,n,1,1,0.8354671001434326,ieke
sound,19,kok,3,n,0,1,0.8787541389465332,ieke
sound,20,kapper,2,n,1,1,0.8299660682678223,ieke
